Name,Cluster,Min Age,Rating Average,Users Rated,Complexity Average,Play Time,Min Players,Max Players,Custom Rating
gloomhaven,482,14,8.79,42055,3.86,120,1,4,369663.44999999995
pandemic legacy: season 1,133,13,8.61,41643,2.84,60,2,4,358546.23
brass: birmingham,82,14,8.66,19217,3.91,120,2,4,166419.22
terraforming mars,913,12,8.43,64864,3.24,120,1,5,546803.52
twilight imperium: fourth edition,730,14,8.7,13468,4.22,480,3,6,117171.59999999999
gloomhaven: jaws of the lion,482,14,8.87,8392,3.55,120,1,4,74437.04
through the ages: a new story of civilization,592,14,8.43,23061,4.41,120,2,4,194404.22999999998
gaia project,715,12,8.49,16352,4.35,150,1,4,138828.48
star wars: rebellion,460,14,8.42,23081,3.71,240,2,4,194342.02
twilight struggle,128,13,8.29,40814,3.59,180,2,2,338348.05999999994
great western trail,408,12,8.3,29457,3.71,150,2,4,244493.10000000003
war of the ring: second edition,460,13,8.49,13725,4.14,180,2,4,116525.25
spirit island,581,13,8.35,25722,4.01,120,1,4,214778.69999999998
scythe,582,14,8.24,57871,3.41,115,1,5,476857.04000000004
the castles of burgundy,301,12,8.13,46507,3.0,90,2,4,378101.91000000003
terra mystica,304,12,8.14,39284,3.96,150,2,5,319771.76
7 wonders duel,468,10,8.11,60302,2.23,30,2,2,489049.22
concordia,55,13,8.12,28105,3.03,100,2,5,228212.59999999998
brass: lancashire,82,14,8.17,19400,3.86,120,2,4,158498.0
wingspan,126,10,8.11,43165,2.42,70,1,5,350068.14999999997
a feast for odin,774,12,8.2,17377,3.84,120,1,4,142491.4
arkham horror: the card game,550,14,8.17,28577,3.44,120,1,2,233474.09
viticulture essential edition,419,13,8.08,29486,2.91,90,1,6,238246.88
nemesis,746,12,8.4,12290,3.35,180,1,5,103236.0
orléans,496,12,8.09,22244,3.05,90,2,4,179953.96
mage knight board game,99,14,8.1,27850,4.31,240,1,4,225585.0
root,272,10,8.1,24412,3.67,90,2,4,197737.19999999998
puerto rico,446,12,7.99,63128,3.28,150,3,5,504392.72000000003
food chain magnate,288,14,8.14,13863,4.2,240,2,5,112844.82
caverna: the cave farmers,419,12,8.02,28123,3.79,210,1,7,225546.46
agricola,365,12,7.94,63498,3.64,150,1,5,504174.12000000005
blood rage,706,14,8.0,33940,2.88,90,2,4,271520.0
mansions of madness: second edition,746,14,8.06,25116,2.69,180,1,5,202434.96000000002
the 7th continent,527,14,8.15,16868,2.87,1000,1,4,137474.2
pandemic legacy: season 2,133,14,8.15,12100,3.25,60,2,4,98615.0
everdell,365,13,8.08,19552,2.81,80,1,4,157980.16
maracaibo,962,12,8.29,7645,3.87,120,1,4,63377.049999999996
kingdom death: monster,130,17,8.66,7553,4.25,180,1,4,65408.98
power grid,234,12,7.86,56214,3.27,120,2,6,441842.04000000004
tzolk'in: the mayan calendar,332,13,7.9,30790,3.67,90,2,4,243241.0
the crew: the quest for planet nine,848,10,8.02,15027,1.99,20,2,5,120516.54
mechs vs. minions,764,14,8.05,14056,2.41,120,2,4,113150.8
underwater cities,419,12,8.13,9979,3.58,150,1,4,81129.27
star wars: imperial assault,994,14,8.02,20512,3.3,120,1,5,164506.24
clans of caledonia,715,12,8.01,14835,3.46,120,1,4,118828.34999999999
anachrony,340,15,8.1,11585,4.0,120,1,4,93838.5
le havre,419,12,7.87,26494,3.74,150,1,5,208507.78
too many bones,933,12,8.45,6055,3.85,120,1,4,51164.74999999999
through the ages: a story of civilization,463,12,7.93,18004,4.17,120,2,4,142771.72
azul,622,8,7.83,53615,1.77,45,2,4,419805.45
marvel champions: the card game,282,14,8.2,9616,2.8,90,1,4,78851.2
eclipse,858,14,7.89,26165,3.7,180,2,6,206441.85
clank! legacy: acquisitions incorporated,983,13,8.79,3295,2.7,120,2,4,28963.049999999996
android: netrunner,269,14,7.87,26748,3.38,45,2,2,210506.76
robinson crusoe: adventures on the cursed island,919,14,7.84,34179,3.78,120,1,4,267963.36
the voyages of marco polo,301,12,7.87,20240,3.19,100,2,4,159288.8
the gallerist,419,13,8.04,9705,4.28,150,1,4,78028.2
barrage,715,14,8.22,6500,4.02,120,1,4,53430.00000000001
race for the galaxy,322,12,7.76,46393,2.98,60,2,4,360009.68
fields of arle,419,13,8.09,8111,3.88,120,1,2,65617.99
7 wonders,691,10,7.75,84371,2.33,30,2,7,653875.25
teotihuacan: city of gods,419,14,7.95,12970,3.77,120,1,4,103111.5
clank!: a deck-building adventure,548,12,7.81,27893,2.21,60,2,4,217844.33
the quacks of quedlinburg,101,10,7.82,22327,1.94,45,2,4,174597.14
crokinole,471,8,7.91,12197,1.25,30,2,4,96478.27
five tribes,166,13,7.78,32265,2.86,80,2,4,251021.7
dominant species,858,14,7.85,18018,4.04,240,2,6,141441.3
on mars,66,14,8.3,5781,4.63,150,1,4,47982.3
lisboa,66,12,8.18,6693,4.57,120,1,4,54748.74
aeon's end,364,14,8.02,10899,2.76,60,1,4,87409.98
lords of waterdeep,43,12,7.75,45929,2.46,120,2,5,355949.75
paladins of the west kingdom,365,12,8.07,8248,3.67,120,1,4,66561.36
keyflower,972,12,7.8,19003,3.35,120,2,6,148223.4
agricola (revised edition),365,12,8.04,9491,3.5,120,1,4,76307.63999999998
pax pamir: second edition,66,13,8.43,4373,3.75,120,1,5,36864.39
tainted grail: the fall of avalon,746,14,8.41,6134,3.28,120,1,4,51586.94
caylus,332,12,7.77,26796,3.8,150,2,5,208204.91999999998
architects of the west kingdom,453,12,7.83,16886,2.77,80,1,5,132217.38
el grande,197,12,7.75,23545,3.05,120,2,5,182473.75
