,carat,cut,color,clarity,depth,table,x,y,z,price
21529,1.51,Very Good,D,SI2,59.7,58.0,7.43,7.48,4.45,9627
26545,2.03,Ideal,G,SI1,60.3,56.0,8.27,8.21,4.97,16224
4539,1.0,Good,H,SI2,64.1,61.0,6.36,6.27,4.05,3640
45385,0.55,Ideal,E,VS2,61.8,57.0,5.27,5.34,3.28,1667
43605,0.31,Very Good,E,SI1,58.7,60.0,4.45,4.48,2.62,507
21506,1.54,Ideal,I,VS2,60.2,59.0,7.52,7.57,4.54,9600
23457,1.21,Very Good,F,VVS2,61.0,58.0,6.89,6.92,4.21,11455
15214,1.47,Fair,F,SI2,65.9,59.0,6.99,6.94,4.59,6108
18613,1.06,Ideal,F,VS2,61.2,57.0,6.58,6.55,4.02,7592
12477,1.01,Very Good,D,SI2,59.9,61.0,6.46,6.5,3.88,5252
14603,1.02,Premium,D,SI1,62.3,59.0,6.38,6.42,3.99,5890
12872,1.03,Ideal,H,VS2,62.3,56.0,6.46,6.44,4.02,5364
11205,1.01,Very Good,H,VS2,61.0,63.0,6.38,6.41,3.9,4959
32839,0.46,Ideal,H,SI1,61.7,55.0,4.99,5.02,3.09,807
43176,0.5,Good,F,VS1,56.4,62.0,5.31,5.22,2.97,1390
43821,0.51,Ideal,E,SI1,62.5,56.0,5.1,5.07,3.18,1443
14611,1.01,Very Good,H,VS2,60.2,60.0,6.46,6.5,3.9,5897
27000,1.56,Ideal,F,VS2,62.0,55.0,7.41,7.45,4.61,17108
45150,0.5,Premium,F,VS2,61.8,58.0,5.1,5.06,3.14,1654
36804,0.3,Ideal,G,IF,62.1,55.0,4.35,4.31,2.69,956
12894,1.01,Ideal,E,SI1,62.1,57.0,6.4,6.45,3.99,5372
24219,1.59,Premium,H,VVS2,63.0,58.0,7.48,7.43,4.7,12409
41542,0.5,Good,D,SI1,63.7,57.0,5.01,4.94,3.17,1235
40774,0.42,Very Good,E,VVS2,62.1,56.0,4.79,4.82,2.98,1167
35857,0.4,Ideal,D,VS2,61.9,58.0,4.7,4.73,2.92,917
8331,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4395
22658,1.01,Very Good,E,VVS1,62.3,56.0,6.41,6.47,4.01,10704
42435,0.53,Ideal,D,SI2,61.9,55.0,5.19,5.24,3.23,1314
4109,0.9,Ideal,I,SI1,62.0,56.0,6.16,6.23,3.84,3537
29850,0.3,Premium,D,VS2,60.7,60.0,4.33,4.37,2.64,710
41017,0.4,Ideal,F,VVS1,62.2,56.0,4.71,4.74,2.94,1186
28192,0.4,Premium,D,SI2,61.9,58.0,4.71,4.73,2.92,666
22018,1.5,Ideal,H,VS1,61.3,55.0,7.37,7.34,4.51,10080
3267,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,3360
35320,0.31,Very Good,F,VVS1,62.4,60.0,4.28,4.31,2.68,897
44940,0.62,Premium,F,SI1,61.3,60.0,5.48,5.45,3.35,1633
34390,0.41,Ideal,F,VS2,61.8,57.0,4.73,4.78,2.94,863
17967,1.23,Ideal,H,VS2,62.3,56.0,6.86,6.79,4.25,7260
22138,1.2,Very Good,F,VVS2,63.8,58.0,6.67,6.69,4.26,10173
45321,0.32,Very Good,E,SI1,60.4,61.0,4.39,4.42,2.66,524
16010,1.33,Premium,H,SI2,62.8,52.0,7.15,7.06,4.46,6405
14548,1.28,Premium,H,VS2,59.4,60.0,7.07,7.03,4.19,5878
9723,1.15,Very Good,H,SI2,61.9,57.0,6.68,6.72,4.15,4654
37158,0.32,Ideal,D,VS2,61.5,56.0,4.44,4.41,2.72,972
26408,2.01,Very Good,H,VS1,63.5,53.0,8.04,7.97,5.08,15930
18555,1.17,Premium,G,VS1,62.4,56.0,6.81,6.75,4.23,7564
39732,0.53,Very Good,G,SI2,60.9,55.0,5.26,5.29,3.21,1092
6036,0.25,Ideal,F,VVS1,60.9,57.0,4.06,4.09,2.48,575
7300,1.0,Good,I,VS1,63.8,56.0,6.35,6.32,4.04,4202
46116,0.59,Ideal,F,VS2,62.9,55.0,5.39,5.32,3.37,1743
6568,1.0,Premium,E,SI2,59.1,61.0,6.44,6.39,3.79,4077
2615,0.82,Premium,I,IF,61.2,60.0,6.03,5.99,3.68,3224
42279,0.23,Ideal,F,VVS1,62.4,55.0,3.94,3.95,2.46,505
5366,0.75,Very Good,E,VS2,60.4,56.0,5.9,5.96,3.58,3817
38076,0.3,Premium,E,VVS2,60.8,60.0,4.31,4.27,2.61,1013
33150,0.31,Premium,G,VVS1,61.4,58.0,4.32,4.35,2.66,816
39645,0.47,Premium,G,SI1,58.8,58.0,5.11,5.06,2.99,1086
29175,0.3,Ideal,F,VVS2,61.6,53.0,4.35,4.39,2.69,694
3918,1.02,Premium,J,SI1,61.2,57.0,6.58,6.43,3.98,3496
39874,0.33,Very Good,E,VVS1,61.5,57.0,4.44,4.48,2.75,1103
30407,0.34,Ideal,D,VS2,60.8,57.0,4.52,4.56,2.76,730
42817,0.5,Premium,G,VS2,59.4,60.0,5.14,5.16,3.06,1354
35115,0.3,Ideal,F,IF,61.8,56.0,4.31,4.33,2.67,886
11026,0.91,Very Good,F,VS2,62.1,58.0,6.19,6.24,3.86,4917
